account_name,CITY,Country
QUEST@PEACEHEALTH ST JOSEPH MEDICAL,BELLINGHAM,United States
REID HEALTH,RICHMOND,United States
RESEARCH & DEVELOPMENT INSTITUTE,VAN NUYS,United States
REX HOSPITAL,RALEIGH,United States
SACRED HEART MEDICAL CENTER (R),SPOKANE,United States
SALEM CLINIC PC,SALEM,United States
SELF REGIONAL HEALTHCARE,GREENWOOD,United States
SIEMENS HEALTHCARE DIAGNOSTICS,BERKELEY,United States
SIEMENS HEALTHCARE DIAGNOSTICS,NEWARK,United States
SIEMENS TDC GLASGOW,NEWARK,United States
SIEMENS TDC TARRYTOWN,TARRYTOWN,United States
SIEMENS TDC2 CARY,CARY,United States
SIERRA VIEW DISTRICT HOSPITAL,PORTERVILLE,United States
SINGING RIVER HOSPITAL,PASCAGOULA,United States
SOUTHERN NEW HAMPSHIRE MED CTR,NASHUA,United States
SPECTRA EAST,ROCKLEIGH,United States
ST ALPHONSUS REGIONAL MED CTR,BOISE,United States
ST BERNARD HOSPITAL,CHICAGO,United States
ST CROIX CLINICAL LABORATORIES INC,CHRISTIANSTED,United States
ST JOSEPH MEDICAL CENTER,HOUSTON,United States
ST LUKES HOSPITAL,DULUTH,United States
ST MARKS HOSPITAL,SALT LAKE CITY,United States
ST MARYS REGIONAL MEDICAL CTR,RUSSELLVILLE,United States
ST VINCENTS HOSPITAL SANTA FE,SANTA FE,United States
ST VINCENTS MEDICAL CENTER,BRIDGEPORT,United States
STONE CLINICAL LABORATORIES OF FL L,FREEPORT,United States
STORMONT VAIL HEALTH,TOPEKA,United States
STURDY MEMORIAL HOSPITAL,ATTLEBORO,United States
SUMMERLIN HOSPITAL MEDICAL CTR,LAS VEGAS,United States
SUTTER HEALTH SHARED LABORATORY,LIVERMORE,United States
SWEDISH COVENANT HOSPITAL,CHICAGO,United States
TEXOMA MEDICAL CENTER,DENISON,United States
THE VALLEY HOSPITAL (P),RIDGEWOOD,United States
TRICORE REFERENCE LABORATORIES,ALBUQUERQUE,United States
UHHS UNIV HOSPITAL CLEVELAND,CLEVELAND,United States
UNC HOSPITALS CENTRAL DISTRIBUTION,CHAPEL HILL,United States
UNITED MEMORIAL MEDICAL CENTER,BATAVIA,United States
UNIV OF MARYLAND CHEM RESEARCH,BALTIMORE,United States
UNIV OF MIAMI MILLER SCHOOL OF MED,MIAMI,United States
UNIVERSITY KS HEALTH SYS ST FRANCIS,TOPEKA,United States
UNIVERSITY MEDICAL CENTER,LAS VEGAS,United States
US DX CARY TRAINING CENTER,CARY,United States
USAF EGLIN AIR FORCE BASE,EGLIN AIR FORCE BASE,United States
VA CHEYENNE MEDICAL CTR,CHEYENNE,United States
VA OUTPATIENT CLINIC,COLUMBUS,United States
VALLEY HOSPITAL MEDICAL CENTER,LAS VEGAS,United States
VALLEY VIEW HOSPITAL,GLENWOOD SPRINGS,United States
VIRGINIA ONCOLOGY ASSC,NEWPORT NEWS,United States
WASHINGTON HOSPITAL CENTER (PHYS),WASHINGTON,United States
WAYNE MEMORIAL HOSPITAL,GOLDSBORO,United States
WILMINGTON HEALTH ASSOCIATES,WILMINGTON,United States
WOOSTER COMMUNITY HOSPITAL,WOOSTER,United States
XERON CLINICAL LABORATORIES,FLUSHING,United States
